Field,Type,Null,Key,Default,Extra
id,varchar(20),NO,PRI,NULL,
title,varchar(255),YES,,NULL,
city_id,varchar(20),YES,,NULL,
code,varchar(255),YES,,NULL,
user_id,varchar(20),YES,,NULL,
