id,title,min,is_group,is_foreigner
1,"{"fr":"Adulte Marocain ou R\u00e9sident","tzm":"\u2d30\u2d4e\u2d56\u2d54\u2d31\u2d49  \u2d30\u2d4e\u2d5c\u2d54\u2d53\u2d33  \u2d4f\u2d49\u2d56 \u2d30\u2d4e\u2d63\u2d37\u2d30\u2d56","ar":"\u0631\u0627\u0634\u062f \u0645\u063a\u0631\u0628\u064a \u0623\u0648 \u0645\u0642\u064a\u0645","en":"Moroccan or resident adult"}",1,0,0
15,"{"fr":"Groupe d'\u00e9tudiants ou \u00e9l\u00e8ves \u00e9trangers"}",1,0,1
16,"{"fr":"Groupe d'\u00e9tudiants ou d'\u00e9l\u00e8ves marocains"}",1,0,0
17,"{"fr":"TEST_OFFLINE"}",1,0,0
18,"{"fr":"TEST_ONLINE"}",1,0,0
19,"{"fr":"TEST 2 ONLINE"}",NULL,0,0
2,"{"en":"Moroccan or resident child  between 7 and 13","ar":"\u0637\u0641\u0644 \u0645\u063a\u0631\u0628\u064a \u0623\u0648 \u0645\u0642\u064a\u0645 \u0628\u064a\u0646  7 \u0648 13 \u0633\u0646\u0629","fr":"Enfant Marocain ou R\u00e9sident entre 7 et 13","tzm":"\u2d30\u2d54\u2d31\u2d30  \u2d30\u2d4e\u2d56\u2d54\u2d31\u2d49   \u2d4f\u2d49\u2d56 \u2d30\u2d4e\u2d63\u2d37\u2d56 \u2d4f\u2d33\u2d54 7 \u2d37 13"}",1,0,0
20,"{"fr":"GRATUIT - Adulte Marocain ou R\u00e9sident"}",1,0,0
21,"{"fr":"Pass Jeunes"}",1,0,0
3,"{"en":"Foreigner Adult","ar":"\u0623\u062c\u0646\u0628\u064a \u0631\u0627\u0634\u062f","fr":"Adulte \u00c9tranger","tzm":"\u2d49\u2d4e\u2d63\u2d63\u2d49 \u2d30\u2d4e\u2d5c\u2d54\u2d53\u2d33"}",1,0,1
4,"{"en":"Foreigner Child between 7 and 13","ar":"\u0637\u0641\u0644 \u0627\u062c\u0646\u0628\u064a \u0628\u064a\u0646 7 \u0648 13 \u0633\u0646\u0629","fr":"Enfant \u00c9tranger entre 7 et 13","tzm":"\u2d30\u2d54\u2d31\u2d30 \u2d49\u2d4e\u2d63\u2d63\u2d49 \u2d4f\u2d33\u2d54 7 \u2d37 13"}",1,0,1
6,"{"en":"Group of Resident students/pupils","ar":"مجموعة من الطلاب / التلاميذ المقيمين","fr":"Groupe d'étudiants/élèves Resident"}",5,1,0
7,"{"en":"Group of foreign students/pupils","ar":"مجموعة من الطلاب / التلاميذ الأجانب","fr":"Groupe d'étudiants/élèves Etranger"}",5,1,1
8,"{"en":"Foreign Travel Agencies/Adult Clubs","ar":"وكالات السفر/ نوادي الكبار الأجنبية","fr":"Agences de voyages/Clubs adultes etrangers"}",5000,1,0
9,"{"en":"non-profit association","ar":"منظمة غير هادفة للربح","fr":"Association à but non lucratif"}",20,1,0
