regie_id,id,title,city_id,is_ticketing
17,48,"{""fr"":""Conservatoire regional de la musique \u00e0 oujda""}",20,0
11,49,"{""fr"":""Centre culturel 02 octobre wtatelhaj""}",41,0
11,50,"{""fr"":""Centre culturel hay al massira fes""}",12,0
4,51,"{""fr"":""Centre culturel mohamed Mennouni""}",4,0
12,52,"{""fr"":""Centre culturel  de sidi slimane""}",18,0
12,53,"{""fr"":""Centre culturel Mechraa Bel Ksiri""}",18,0
12,54,"{""fr"":""CENTRE CULTUREL kENITRA""}",18,0
11,55,"{""fr"":""CENTRE CULTUREL D EDUCATION CULTURELLE AIN KADOUS""}",12,0
4,56,"{""fr"":""CENTRE CULTUREL AZROU""}",12,0
4,57,"{""fr"":""CENTRE CULTUREL EL HAJEB""}",12,0
1,58,"{""fr"":""CENTRE CULTUREL SKHIRAT""}",12,0
1,59,"{""fr"":""CENTRE CULTUREL TAMESNA""}",12,0
1,60,"{""fr"":""CENTRE D ANIMATION CULTURELLE ET ARTISTIQUE  DE TABRIQUET""}",12,0
16,61,"{""fr"":""CENTRE CULTUREL ZAGORA""}",12,0
16,62,"{""fr"":""CENTRE CULTUREL KALAAT M GOUNA""}",12,0
16,63,"{""fr"":""CENTRE CULTUREL OUARZAZTE""}",12,0
6,66,"{""fr"":""CENTRE CULTUREL AIN HARROUDA CASABLANCA""}",9,0
6,67,"{""fr"":""CENTRE CULTUREL BOUSKOURA""}",12,0
6,68,"{""fr"":""CENTRE CULTUREL FIRDOUS""}",12,0
8,69,"{""fr"":""Th\u00e9atre Afifi El-Jadida""}",30,0
31,70,"{""fr"":""CENTRE CULTUREL BENIMELLAL""}",12,0
31,71,"{""fr"":""CENTRE CULTUREL AZILAL""}",12,0
18,72,"{""fr"":""MAISON DE LA CULTURE KAOUKI SAFI""}",12,0
18,73,"{""fr"":""CITE DES ARTS SAFI""}",12,0
30,74,"{""fr"":""CONSERVATOIRE DU MUSIQUE DAOUDIATE A MARRAKECH""}",12,0
19,75,"{""fr"":""CENTRE CULTUREL SETTAT""}",12,0
19,76,"{""fr"":""CENTRE CULTUREL BEN AHMED""}",22,0
19,77,"{""fr"":""CENTRE CULTUREL BEN SLIMANE""}",12,0
19,78,"{""fr"":""KASABAH ISMAILIA""}",12,0
12,79,"{""fr"":""KASBAH MEHDIYA""}",,0
12,80,"{""fr"":""SITE TAMUSIDA""}",12,0
15,81,"{""fr"":""SITE MEZOURA""}",12,0
11,82,"{""fr"":""SALLE DU CENTRE CULTUREL D EDUCATION CULTURELLE AIN KADOUS""}",12,0
11,83,"{""fr"":""SALLE DU centre culturel hay al massira fes""}",12,0
15,84,"{""fr"":""CENTRE CULTUREL BAB LEBHAR""}",12,0
15,85,"{""fr"":""CONSERVATOIRE DU MUSIQUE DE LARACHE""}",,0
15,86,"{""fr"":""SALLE DU CENTRE CULTUREL BAB LEBHAR""}",12,0
15,87,"{""fr"":""CONSERVATOIRE DU MUSIQUE KSSAR LEKBIR""}",,0
30,88,"{""fr"":""Conservatoire de Musique et d'art chor\u00e9graphique Bab Doukkala""}",,0
15,89,"{""fr"":""Salle du centre culturel Larache""}",12,0
15,90,"{""fr"":""Salle du centre culturel Lixus""}",12,0
6,91,"{""fr"":""Conservatoire de Musique de Casablanca""}",,0
31,92,"{""fr"":""Conservatoire de musique et arts chor\u00e9graphiques Mhamed Rouicha \u00e0 Kh\u00e9nifra""}",,0
8,93,"{""fr"":""Kasbah de Boulaaouane""}",12,0
22,94,"{""fr"":""L'Ecole des arts et m\u00e9tiers""}",12,0
22,95,"{""fr"":""Le site arch\u00e9ologique de Tamuda""",,
22,96,"{""fr"":""Conservatoire de Musique de T\u00e9touan""}",19,0
22,97,"{""fr"":""SALLE DE LA MAISON DE CULTURE TETOAUN""}",12,0
22,98,"{""fr"":""SALLE DE LA MAISON DE CULTURE M ' DIEQ""}",12,0
22,99,"{""fr"":""SALLE DE LA MAISON DE CULTURE FNIDEQ""}",12,0
