id,title,revenue_category_id,,
14,Vente des publications éditées par le ministère de la Culture ou pour son compte,, audio ou visuels," produits ou reproduits par ses soins"";"""""
15,test11/12/2024,,,
16,Droit de visite Siel,,,
17,Droit de visite SILEJ,,,
18,Location des stands,,,
19,Location pour prise de vues photographiques professionnelle,,,
2,Droits de visite des monuments historiques et sites,,,
3,Droits d’accès aux espaces culturels projetant les films cinématographiques,,,
4,Location de salles,,,
5,Droits d'inscription aux conservatoires de musique,,,
6,Location pour prise de vues photographies,,,
7,Location pour prise de vues cinématographiques,,,
8,Recettes diverses (Excédent),,,
9,Location de monuments historiques pour manifestations culturelles,,,
